"id","School.Name","2006","2007","2008","2009","2010","2011","2012","mean","grad.rate"
"0200-01-129","HASTINGS HIGH SCHOOL               ",0.25,0.27,0.31,0.26,0.32,0.23,0.22,0.27,0.94
"0204-01-030","KASSON-MANTORVILLE SENIOR HIGH     ",0.33,0.26,0.32,0.28,0.29,0.29,0.28,0.29,0.96
"0206-01-320","JEFFERSON SENIOR HIGH              ",0.14,0.17,0.19,0.08,0.12,0.15,0.14,0.14,0.91
"0241-01-310","ALBERT LEA SENIOR HIGH             ",0.22,0.25,0.26,0.24,0.22,0.31,0.26,0.25,0.82
"0252-01-002","CANNON FALLS SEC.                  ",0.29,0.28,0.26,0.17,,,0.24,0.25,0.97
"0256-01-108","RED WING SENIOR HIGH               ",0.16,0.17,0.23,0.22,0.31,0.31,0.34,0.25,0.9
"0270-01-282","HOPKINS SENIOR HIGH                ",0.21,0.24,0.27,0.24,0.27,0.2,0.24,0.24,0.82
"0271-01-007","KENNEDY SENIOR HIGH                ",0.3,0.37,0.32,0.36,0.45,0.4,0.37,0.37,0.83
"0271-01-009","JEFFERSON SENIOR HIGH              ",0.17,0.24,0.28,0.23,0.2,0.26,0.15,0.22,0.92
"0272-01-064","EDEN PRAIRIE SENIOR HIGH           ",0.17,0.17,0.2,0.16,0.12,0.12,0.08,0.15,0.85
"0273-01-021","EDINA SENIOR HIGH                  ",0.15,0.14,0.15,0.15,0.17,0.1,0.11,0.14,0.95
"0276-01-074","MINNETONKA SENIOR HIGH             ",0.16,0.14,0.2,0.12,0.17,0.18,0.1,0.15,0.96
"0277-01-062","MOUND-WESTONKA HIGH SCHOOL         ",0.25,0.29,0.23,0.19,0.18,0.18,0.15,0.21,0.89
"0278-01-030","ORONO SENIOR HIGH                  ",,0.2,0.21,0.22,0.19,0.13,,0.19,0.96
"0279-01-032","OSSEO SENIOR HIGH                  ",0.3,0.36,0.43,0.38,0.38,0.35,0.27,0.35,0.83
"0279-01-088","PARK CENTER IB WORLD SCHOOL        ",0.38,0.42,0.44,0.45,0.42,0.44,0.41,0.42,0.8
"0279-01-090","MAPLE GROVE SENIOR HIGH            ",0.21,0.29,0.22,0.21,0.2,0.21,0.15,0.21,0.92
"0280-01-035","RICHFIELD SENIOR HIGH              ",0.41,0.37,0.38,0.33,0.43,0.3,0.38,0.37,0.72
"0281-01-050","ROBBINSDALE COOPER SENIOR HIGH     ",0.34,0.31,0.36,0.37,0.42,0.37,0.37,0.36,0.73
"0281-01-053","ROBBINSDALE ARMSTRONG SENIOR HIGH  ",0.28,0.27,0.3,0.33,0.25,0.26,0.18,0.27,0.79
"0282-01-020","ST. ANTHONY VILLAGE SENIOR HIGH    ",0.16,0.2,0.21,0.18,0.19,0.21,0.15,0.19,0.85
"0283-01-040","ST. LOUIS PARK SENIOR HIGH         ",0.23,0.21,0.28,0.25,0.26,0.29,0.19,0.24,0.85
"0284-01-050","WAYZATA HIGH                       ",0.19,0.16,0.2,0.17,0.17,0.11,0.12,0.16,0.9
"0299-01-032","CALEDONIA SENIOR HIGH              ",,0.38,0.31,,0.3,,,0.33,0.95
"0300-01-020","LA CRESCENT SENIOR HIGH            ",,,,,,,,,0.97
"0309-01-060","PARK RAPIDS SENIOR HIGH            ",0.2,0.25,0.24,,0.21,0.26,,0.23,0.79
"0318-01-360","GRAND RAPIDS SENIOR HIGH           ",0.28,0.36,0.33,0.36,0.39,0.5,0.36,0.37,0.94
"0332-01-040","MORA SECONDARY                     ",0.31,0.29,0.26,0.23,0.27,0.25,0.24,0.26,0.96
"0345-01-030","NEW LONDON-SPICER SR.              ",0.18,0.3,0.28,0.35,0.31,0.38,0.16,0.28,0.97
"0347-01-300","WILLMAR SENIOR HIGH                ",0.28,0.3,0.34,0.31,0.34,0.31,0.33,0.32,0.83
"0361-01-001","FALLS SECONDARY                    ",,0.44,0.25,0.26,0.17,0.32,0.22,0.28,0.8
"0381-01-200","TWO HARBORS SECONDARY              ",0.29,0.27,0.28,0.31,0.28,,,0.29,0.89
"0413-01-001","MARSHALL HIGH SCHOOL               ",0.32,0.4,0.28,0.32,0.26,0.24,0.25,0.3,0.88
"0423-01-030","HUTCHINSON SENIOR HIGH             ",0.19,0.32,0.24,0.23,0.28,0.31,0.2,0.25,0.92
"0465-01-040","LITCHFIELD SENIOR HIGH             ",0.26,0.29,0.19,0.25,0.27,0.22,0.23,0.24,0.89
"0466-01-002","DASSEL-COKATO SENIOR HIGH          ",0.21,0.31,0.22,0.22,0.21,0.32,0.2,0.24,0.95
"0477-01-030","PRINCETON SENIOR HIGH              ",0.3,0.37,0.3,0.27,0.35,0.32,0.23,0.31,0.92
"0482-01-300","LITTLE FALLS SENIOR HIGH           ",0.22,0.2,0.18,0.21,0.21,0.13,0.13,0.18,0.9
"0484-01-030","HEALY SECONDARY                    ",,,,0.22,0.25,,,0.24,0.89
