"district","school","id","year","grads","college","mncollege","remedial"
"Albert Lea Public School District","ALBERT LEA SENIOR HIGH","0241-01-310",2011,187,152,109,34
"Albert Lea Public School District","ALBERT LEA SENIOR HIGH","0241-01-310",2012,166,127,81,21
"Alden-Conger Public School District","ALDEN-CONGER SECONDARY","0242-01-001",2006,35,26,16,"fewer than 10"
"Alden-Conger Public School District","ALDEN-CONGER SECONDARY","0242-01-001",2007,27,18,12,"fewer than 10"
"Alden-Conger Public School District","ALDEN-CONGER SECONDARY","0242-01-001",2008,32,26,18,"fewer than 10"
"Alden-Conger Public School District","ALDEN-CONGER SECONDARY","0242-01-001",2009,23,20,14,"fewer than 10"
"Alden-Conger Public School District","ALDEN-CONGER SECONDARY","0242-01-001",2010,39,34,25,"fewer than 10"
"Alden-Conger Public School District","ALDEN-CONGER SECONDARY","0242-01-001",2011,20,15,"fewer than 10","fewer than 10"
"Alden-Conger Public School District","ALDEN-CONGER SECONDARY","0242-01-001",2012,22,15,"fewer than 10","fewer than 10"
"Alexandria Public School District","JEFFERSON SENIOR HIGH","0206-01-320",2006,313,267,207,29
"Alexandria Public School District","JEFFERSON SENIOR HIGH","0206-01-320",2007,329,266,185,32
"Alexandria Public School District","JEFFERSON SENIOR HIGH","0206-01-320",2008,327,281,206,40
"Alexandria Public School District","JEFFERSON SENIOR HIGH","0206-01-320",2009,292,257,175,14
"Alexandria Public School District","JEFFERSON SENIOR HIGH","0206-01-320",2010,274,224,163,20
"Alexandria Public School District","JEFFERSON SENIOR HIGH","0206-01-320",2011,275,227,169,25
"Alexandria Public School District","JEFFERSON SENIOR HIGH","0206-01-320",2012,260,214,148,21
"Annandale Public School District","ANNANDALE SENIOR HIGH","0876-01-003",2006,150,115,93,28
"Annandale Public School District","ANNANDALE SENIOR HIGH","0876-01-003",2007,136,101,80,12
"Annandale Public School District","ANNANDALE SENIOR HIGH","0876-01-003",2008,151,120,99,14
"Annandale Public School District","ANNANDALE SENIOR HIGH","0876-01-003",2009,140,105,81,15
"Annandale Public School District","ANNANDALE SENIOR HIGH","0876-01-003",2010,143,109,90,16
"Annandale Public School District","ANNANDALE SENIOR HIGH","0876-01-003",2011,126,100,76,17
"Annandale Public School District","ANNANDALE SENIOR HIGH","0876-01-003",2012,127,101,84,17
"Anoka-Hennepin Public School District","ANDOVER DOWNTOWN CTR ALC","0011-01-435",2006,27,14,14,"fewer than 10"
"Anoka-Hennepin Public School District","ANDOVER DOWNTOWN CTR ALC","0011-01-435",2007,37,11,11,"fewer than 10"
"Anoka-Hennepin Public School District","ANDOVER DOWNTOWN CTR ALC","0011-01-435",2008,28,13,13,"fewer than 10"
"Anoka-Hennepin Public School District","ANDOVER DOWNTOWN CTR ALC","0011-01-435",2009,29,"fewer than 10","fewer than 10","fewer than 10"
"Anoka-Hennepin Public School District","ANDOVER DOWNTOWN CTR ALC","0011-01-435",2010,29,11,11,"fewer than 10"
"Anoka-Hennepin Public School District","ANDOVER HIGH SCHOOL","0011-01-094",2006,350,292,223,75
"Anoka-Hennepin Public School District","ANDOVER HIGH SCHOOL","0011-01-094",2007,333,300,231,58
"Anoka-Hennepin Public School District","ANDOVER HIGH SCHOOL","0011-01-094",2008,331,293,221,71
"Anoka-Hennepin Public School District","ANDOVER HIGH SCHOOL","0011-01-094",2009,382,341,276,70
"Anoka-Hennepin Public School District","ANDOVER HIGH SCHOOL","0011-01-094",2010,376,341,253,64
"Anoka-Hennepin Public School District","ANDOVER HIGH SCHOOL","0011-01-094",2011,362,328,241,60
"Anoka-Hennepin Public School District","ANDOVER HIGH SCHOOL","0011-01-094",2012,372,325,224,34
"Anoka-Hennepin Public School District","ANOKA HIGH SCHOOL","0011-01-001",2006,475,401,291,92
"Anoka-Hennepin Public School District","ANOKA HIGH SCHOOL","0011-01-001",2007,483,385,306,91
"Anoka-Hennepin Public School District","ANOKA HIGH SCHOOL","0011-01-001",2008,533,432,331,113
"Anoka-Hennepin Public School District","ANOKA HIGH SCHOOL","0011-01-001",2009,524,444,338,102
"Anoka-Hennepin Public School District","ANOKA HIGH SCHOOL","0011-01-001",2010,498,421,331,96
"Anoka-Hennepin Public School District","ANOKA HIGH SCHOOL","0011-01-001",2011,517,437,323,79
"Anoka-Hennepin Public School District","ANOKA HIGH SCHOOL","0011-01-001",2012,477,398,312,63
