"district","school","id","year","grads","college","mncollege","remedial"
"Goodridge Public School District","GOODRIDGE SECONDARY","0561-01-020",2011,12,10,"fewer than 10","fewer than 10"
"Goodridge Public School District","GOODRIDGE SECONDARY","0561-01-020",2012,16,10,"fewer than 10","fewer than 10"
"Granada Huntley-East Chain","GRANADA-HUNTLEY EAST CHAIN SEC.","2536-01-020",2006,32,25,17,"fewer than 10"
"Granada Huntley-East Chain","GRANADA-HUNTLEY EAST CHAIN SEC.","2536-01-020",2007,27,18,10,"fewer than 10"
"Granada Huntley-East Chain","GRANADA-HUNTLEY EAST CHAIN SEC.","2536-01-020",2008,27,21,13,"fewer than 10"
"Granada Huntley-East Chain","GRANADA-HUNTLEY EAST CHAIN SEC.","2536-01-020",2009,28,22,15,"fewer than 10"
"Granada Huntley-East Chain","GRANADA-HUNTLEY EAST CHAIN SEC.","2536-01-020",2010,27,20,14,"fewer than 10"
"Granada Huntley-East Chain","GRANADA-HUNTLEY EAST CHAIN SEC.","2536-01-020",2011,28,20,10,"fewer than 10"
"Granada Huntley-East Chain","GRANADA-HUNTLEY EAST CHAIN SEC.","2536-01-020",2012,21,15,"fewer than 10","fewer than 10"
"Grand Meadow Public School District","GRAND MEADOW SENIOR HIGH","0495-01-030",2006,36,27,20,"fewer than 10"
"Grand Meadow Public School District","GRAND MEADOW SENIOR HIGH","0495-01-030",2007,25,18,16,"fewer than 10"
"Grand Meadow Public School District","GRAND MEADOW SENIOR HIGH","0495-01-030",2008,29,24,19,"fewer than 10"
"Grand Meadow Public School District","GRAND MEADOW SENIOR HIGH","0495-01-030",2009,32,22,14,"fewer than 10"
"Grand Meadow Public School District","GRAND MEADOW SENIOR HIGH","0495-01-030",2010,24,18,11,"fewer than 10"
"Grand Meadow Public School District","GRAND MEADOW SENIOR HIGH","0495-01-030",2011,22,15,12,"fewer than 10"
"Grand Meadow Public School District","GRAND MEADOW SENIOR HIGH","0495-01-030",2012,21,13,12,"fewer than 10"
"Grand Rapids Public School District","BIGFORK SECONDARY","0318-01-350",2006,23,16,13,"fewer than 10"
"Grand Rapids Public School District","BIGFORK SECONDARY","0318-01-350",2007,19,12,12,"fewer than 10"
"Grand Rapids Public School District","BIGFORK SECONDARY","0318-01-350",2008,20,15,14,"fewer than 10"
"Grand Rapids Public School District","BIGFORK SECONDARY","0318-01-350",2009,17,14,11,"fewer than 10"
"Grand Rapids Public School District","BIGFORK SECONDARY","0318-01-350",2010,19,14,11,"fewer than 10"
"Grand Rapids Public School District","BIGFORK SECONDARY","0318-01-350",2011,22,15,12,"fewer than 10"
"Grand Rapids Public School District","BIGFORK SECONDARY","0318-01-350",2012,28,20,16,"fewer than 10"
"Grand Rapids Public School District","GRAND RAPIDS AREA LEARNING CENTER","0318-01-365",2006,29,11,11,"fewer than 10"
"Grand Rapids Public School District","GRAND RAPIDS AREA LEARNING CENTER","0318-01-365",2007,48,19,19,"fewer than 10"
"Grand Rapids Public School District","GRAND RAPIDS AREA LEARNING CENTER","0318-01-365",2008,45,11,11,"fewer than 10"
"Grand Rapids Public School District","GRAND RAPIDS AREA LEARNING CENTER","0318-01-365",2009,62,19,19,"fewer than 10"
"Grand Rapids Public School District","GRAND RAPIDS AREA LEARNING CENTER","0318-01-365",2010,57,20,20,12
"Grand Rapids Public School District","GRAND RAPIDS AREA LEARNING CENTER","0318-01-365",2011,51,14,14,"fewer than 10"
"Grand Rapids Public School District","GRAND RAPIDS AREA LEARNING CENTER","0318-01-365",2012,49,"fewer than 10","fewer than 10","fewer than 10"
"Grand Rapids Public School District","GRAND RAPIDS SENIOR HIGH","0318-01-360",2006,281,239,191,54
"Grand Rapids Public School District","GRAND RAPIDS SENIOR HIGH","0318-01-360",2007,301,246,201,72
"Grand Rapids Public School District","GRAND RAPIDS SENIOR HIGH","0318-01-360",2008,250,215,169,55
"Grand Rapids Public School District","GRAND RAPIDS SENIOR HIGH","0318-01-360",2009,262,224,175,63
"Grand Rapids Public School District","GRAND RAPIDS SENIOR HIGH","0318-01-360",2010,238,190,149,58
"Grand Rapids Public School District","GRAND RAPIDS SENIOR HIGH","0318-01-360",2011,233,182,152,76
"Grand Rapids Public School District","GRAND RAPIDS SENIOR HIGH","0318-01-360",2012,238,190,156,56
"Greenbush-Middle River School Dist.","GREENBUSH-MIDDLE RIVER SENIOR HIGH","2683-01-020",2006,37,34,28,"fewer than 10"
"Greenbush-Middle River School Dist.","GREENBUSH-MIDDLE RIVER SENIOR HIGH","2683-01-020",2007,30,26,20,"fewer than 10"
"Greenbush-Middle River School Dist.","GREENBUSH-MIDDLE RIVER SENIOR HIGH","2683-01-020",2008,38,30,21,"fewer than 10"
"Greenbush-Middle River School Dist.","GREENBUSH-MIDDLE RIVER SENIOR HIGH","2683-01-020",2009,29,25,18,"fewer than 10"
"Greenbush-Middle River School Dist.","GREENBUSH-MIDDLE RIVER SENIOR HIGH","2683-01-020",2010,44,34,23,"fewer than 10"
"Greenbush-Middle River School Dist.","GREENBUSH-MIDDLE RIVER SENIOR HIGH","2683-01-020",2011,36,24,19,"fewer than 10"
"Greenbush-Middle River School Dist.","GREENBUSH-MIDDLE RIVER SENIOR HIGH","2683-01-020",2012,29,24,20,"fewer than 10"
"Greenway Public School District","GREENWAY SENIOR HIGH","0316-01-310",2006,84,69,58,20
"Greenway Public School District","GREENWAY SENIOR HIGH","0316-01-310",2007,81,68,58,21
"Greenway Public School District","GREENWAY SENIOR HIGH","0316-01-310",2008,68,55,52,15
"Greenway Public School District","GREENWAY SENIOR HIGH","0316-01-310",2009,71,58,53,21
"Greenway Public School District","GREENWAY SENIOR HIGH","0316-01-310",2010,81,63,58,24
"Greenway Public School District","GREENWAY SENIOR HIGH","0316-01-310",2011,69,49,45,25
"Greenway Public School District","GREENWAY SENIOR HIGH","0316-01-310",2012,61,46,43,16
"Grygla Public School District","GRYGLA SECONDARY","0447-01-003",2006,13,10,"fewer than 10","fewer than 10"
"Grygla Public School District","GRYGLA SECONDARY","0447-01-003",2007,16,11,"fewer than 10","fewer than 10"
"Grygla Public School District","GRYGLA SECONDARY","0447-01-003",2008,19,16,12,"fewer than 10"
"Grygla Public School District","GRYGLA SECONDARY","0447-01-003",2009,20,19,16,"fewer than 10"
"Grygla Public School District","GRYGLA SECONDARY","0447-01-003",2010,15,11,"fewer than 10","fewer than 10"
"Grygla Public School District","GRYGLA SECONDARY","0447-01-003",2011,22,20,16,"fewer than 10"
"Grygla Public School District","GRYGLA SECONDARY","0447-01-003",2012,16,13,13,"fewer than 10"
"Hancock Public School District","HANCOCK SEC.","0768-01-020",2006,14,13,10,"fewer than 10"
"Hancock Public School District","HANCOCK SEC.","0768-01-020",2007,18,13,10,"fewer than 10"
"Hancock Public School District","HANCOCK SEC.","0768-01-020",2008,22,16,11,"fewer than 10"
"Hancock Public School District","HANCOCK SEC.","0768-01-020",2009,19,14,12,"fewer than 10"
"Hancock Public School District","HANCOCK SEC.","0768-01-020",2010,27,23,20,11
"Hancock Public School District","HANCOCK SEC.","0768-01-020",2011,12,10,"fewer than 10","fewer than 10"
"Hancock Public School District","HANCOCK SEC.","0768-01-020",2012,20,18,11,"fewer than 10"
"Harbor City International Charter","HARBOR CITY INTERNATIONAL CHARTER","4085-07-010",2006,45,33,24,"fewer than 10"
"Harbor City International Charter","HARBOR CITY INTERNATIONAL CHARTER","4085-07-010",2007,45,30,21,"fewer than 10"
"Harbor City International Charter","HARBOR CITY INTERNATIONAL CHARTER","4085-07-010",2008,37,21,17,"fewer than 10"
"Harbor City International Charter","HARBOR CITY INTERNATIONAL CHARTER","4085-07-010",2009,49,34,27,12
"Harbor City International Charter","HARBOR CITY INTERNATIONAL CHARTER","4085-07-010",2010,34,26,19,"fewer than 10"
"Harbor City International Charter","HARBOR CITY INTERNATIONAL CHARTER","4085-07-010",2011,38,27,17,"fewer than 10"
"Harbor City International Charter","HARBOR CITY INTERNATIONAL CHARTER","4085-07-010",2012,37,22,17,"fewer than 10"
"Hastings Public School District","HASTINGS ALTERNATIVE CENTER","0200-01-136",2006,21,"fewer than 10","fewer than 10","fewer than 10"
"Hastings Public School District","HASTINGS ALTERNATIVE CENTER","0200-01-136",2007,19,"fewer than 10","fewer than 10","fewer than 10"
"Hastings Public School District","HASTINGS ALTERNATIVE CENTER","0200-01-136",2008,22,"fewer than 10","fewer than 10","fewer than 10"
"Hastings Public School District","HASTINGS ALTERNATIVE CENTER","0200-01-136",2009,19,"fewer than 10","fewer than 10","fewer than 10"
"Hastings Public School District","HASTINGS ALTERNATIVE CENTER","0200-01-136",2010,20,"fewer than 10","fewer than 10","fewer than 10"
"Hastings Public School District","HASTINGS ALTERNATIVE CENTER","0200-01-136",2011,16,"fewer than 10","fewer than 10","fewer than 10"
"Hastings Public School District","HASTINGS ALTERNATIVE CENTER","0200-01-136",2012,18,"fewer than 10","fewer than 10","fewer than 10"
"Hastings Public School District","HASTINGS HIGH SCHOOL","0200-01-129",2006,401,317,216,55
"Hastings Public School District","HASTINGS HIGH SCHOOL","0200-01-129",2007,377,301,211,56
"Hastings Public School District","HASTINGS HIGH SCHOOL","0200-01-129",2008,398,315,223,69
"Hastings Public School District","HASTINGS HIGH SCHOOL","0200-01-129",2009,372,310,216,56
"Hastings Public School District","HASTINGS HIGH SCHOOL","0200-01-129",2010,395,319,209,67
"Hastings Public School District","HASTINGS HIGH SCHOOL","0200-01-129",2011,364,308,200,46
"Hastings Public School District","HASTINGS HIGH SCHOOL","0200-01-129",2012,360,283,188,41
"Hawley Public School District","HAWLEY SECONDARY","0150-01-020",2006,67,52,36,"fewer than 10"
"Hawley Public School District","HAWLEY SECONDARY","0150-01-020",2007,64,51,25,"fewer than 10"
"Hawley Public School District","HAWLEY SECONDARY","0150-01-020",2008,81,60,47,13
"Hawley Public School District","HAWLEY SECONDARY","0150-01-020",2009,62,50,30,"fewer than 10"
"Hawley Public School District","HAWLEY SECONDARY","0150-01-020",2010,63,51,30,"fewer than 10"
"Hawley Public School District","HAWLEY SECONDARY","0150-01-020",2011,77,56,25,"fewer than 10"
"Hawley Public School District","HAWLEY SECONDARY","0150-01-020",2012,75,49,34,"fewer than 10"
"Hayfield Public School District","HAYFIELD SEC.","0203-01-001",2006,60,42,30,"fewer than 10"
"Hayfield Public School District","HAYFIELD SEC.","0203-01-001",2007,84,69,52,19
"Hayfield Public School District","HAYFIELD SEC.","0203-01-001",2008,51,38,32,18
"Hayfield Public School District","HAYFIELD SEC.","0203-01-001",2009,70,51,40,16
"Hayfield Public School District","HAYFIELD SEC.","0203-01-001",2010,53,38,27,"fewer than 10"
"Hayfield Public School District","HAYFIELD SEC.","0203-01-001",2011,62,54,41,17
"Hayfield Public School District","HAYFIELD SEC.","0203-01-001",2012,57,47,23,"fewer than 10"
"Henning Public School District","HENNING SECONDARY","0545-01-020",2006,28,22,21,"fewer than 10"
"Henning Public School District","HENNING SECONDARY","0545-01-020",2007,23,15,12,"fewer than 10"
"Henning Public School District","HENNING SECONDARY","0545-01-020",2008,30,23,18,"fewer than 10"
"Henning Public School District","HENNING SECONDARY","0545-01-020",2009,24,22,18,"fewer than 10"
"Henning Public School District","HENNING SECONDARY","0545-01-020",2010,29,24,19,"fewer than 10"
"Henning Public School District","HENNING SECONDARY","0545-01-020",2011,26,21,16,"fewer than 10"
"Henning Public School District","HENNING SECONDARY","0545-01-020",2012,27,22,19,"fewer than 10"
"Hermantown Public School District","HERMANTOWN SENIOR HIGH","0700-01-020",2006,159,131,101,31
"Hermantown Public School District","HERMANTOWN SENIOR HIGH","0700-01-020",2007,158,124,105,30
"Hermantown Public School District","HERMANTOWN SENIOR HIGH","0700-01-020",2008,159,119,97,30
"Hermantown Public School District","HERMANTOWN SENIOR HIGH","0700-01-020",2009,141,119,87,25
"Hermantown Public School District","HERMANTOWN SENIOR HIGH","0700-01-020",2010,166,119,89,34
"Hermantown Public School District","HERMANTOWN SENIOR HIGH","0700-01-020",2011,157,110,95,27
"Hermantown Public School District","HERMANTOWN SENIOR HIGH","0700-01-020",2012,173,135,112,29
"Heron Lake-Okabena School District","SOUTHWEST STAR CONCEPT SECONDARY","0330-01-030",2006,33,26,20,"fewer than 10"
"Heron Lake-Okabena School District","SOUTHWEST STAR CONCEPT SECONDARY","0330-01-030",2007,33,25,17,"fewer than 10"
"Heron Lake-Okabena School District","SOUTHWEST STAR CONCEPT SECONDARY","0330-01-030",2008,33,22,11,"fewer than 10"
"Heron Lake-Okabena School District","SOUTHWEST STAR CONCEPT SECONDARY","0330-01-030",2009,42,29,21,11
"Heron Lake-Okabena School District","SOUTHWEST STAR CONCEPT SECONDARY","0330-01-030",2010,33,23,14,"fewer than 10"
"Heron Lake-Okabena School District","SOUTHWEST STAR CONCEPT SECONDARY","0330-01-030",2011,33,23,14,"fewer than 10"
"Heron Lake-Okabena School District","SOUTHWEST STAR CONCEPT SECONDARY","0330-01-030",2012,30,20,10,"fewer than 10"
"Hibbing Public School District","HIBBING HIGH","0701-01-350",2006,183,144,124,28
"Hibbing Public School District","HIBBING HIGH","0701-01-350",2007,183,150,132,41
"Hibbing Public School District","HIBBING HIGH","0701-01-350",2008,188,163,134,41
"Hibbing Public School District","HIBBING HIGH","0701-01-350",2009,151,126,102,34
"Hibbing Public School District","HIBBING HIGH","0701-01-350",2010,141,130,107,32
"Hibbing Public School District","HIBBING HIGH","0701-01-350",2011,153,137,118,38
"Hibbing Public School District","HIBBING HIGH","0701-01-350",2012,142,125,107,35
"High School For Recording Arts","HIGH SCHOOL FOR RECORDING ARTS","4039-07-010",2006,28,10,"fewer than 10","fewer than 10"
"High School For Recording Arts","HIGH SCHOOL FOR RECORDING ARTS","4039-07-010",2007,26,11,"fewer than 10","fewer than 10"
"High School For Recording Arts","HIGH SCHOOL FOR RECORDING ARTS","4039-07-010",2008,33,20,10,"fewer than 10"
"High School For Recording Arts","HIGH SCHOOL FOR RECORDING ARTS","4039-07-010",2009,48,35,25,18
"High School For Recording Arts","HIGH SCHOOL FOR RECORDING ARTS","4039-07-010",2010,85,38,19,"fewer than 10"
"High School For Recording Arts","HIGH SCHOOL FOR RECORDING ARTS","4039-07-010",2011,82,37,22,19
"High School For Recording Arts","HIGH SCHOOL FOR RECORDING ARTS","4039-07-010",2012,53,25,16,11
"Higher Ground Academy","HIGHER GROUND ACADEMY","4027-07-010",2006,21,14,12,"fewer than 10"
"Higher Ground Academy","HIGHER GROUND ACADEMY","4027-07-010",2007,17,16,14,"fewer than 10"
"Higher Ground Academy","HIGHER GROUND ACADEMY","4027-07-010",2008,23,20,17,10
"Higher Ground Academy","HIGHER GROUND ACADEMY","4027-07-010",2009,12,11,10,10
"Higher Ground Academy","HIGHER GROUND ACADEMY","4027-07-010",2010,28,20,18,"fewer than 10"
"Higher Ground Academy","HIGHER GROUND ACADEMY","4027-07-010",2011,32,31,26,20
"Higher Ground Academy","HIGHER GROUND ACADEMY","4027-07-010",2012,19,17,16,"fewer than 10"
"Hill City Public School District","HILL CITY SENIOR HIGH","0002-01-003",2006,33,27,22,"fewer than 10"
"Hill City Public School District","HILL CITY SENIOR HIGH","0002-01-003",2007,18,14,12,"fewer than 10"
"Hill City Public School District","HILL CITY SENIOR HIGH","0002-01-003",2008,33,26,23,12
"Hill City Public School District","HILL CITY SENIOR HIGH","0002-01-003",2009,21,17,13,"fewer than 10"
"Hill City Public School District","HILL CITY SENIOR HIGH","0002-01-003",2010,27,22,21,"fewer than 10"
"Hill City Public School District","HILL CITY SENIOR HIGH","0002-01-003",2011,33,26,21,10
"Hill City Public School District","HILL CITY SENIOR HIGH","0002-01-003",2012,18,11,10,"fewer than 10"
"Hills-Beaver Creek School District","HILLS-BEAVER CREEK SECONDARY","0671-01-020",2006,22,15,"fewer than 10","fewer than 10"
"Hills-Beaver Creek School District","HILLS-BEAVER CREEK SECONDARY","0671-01-020",2007,28,20,11,"fewer than 10"
"Hills-Beaver Creek School District","HILLS-BEAVER CREEK SECONDARY","0671-01-020",2008,27,20,"fewer than 10","fewer than 10"
"Hills-Beaver Creek School District","HILLS-BEAVER CREEK SECONDARY","0671-01-020",2009,33,24,"fewer than 10","fewer than 10"
"Hills-Beaver Creek School District","HILLS-BEAVER CREEK SECONDARY","0671-01-020",2010,22,18,"fewer than 10","fewer than 10"
"Hills-Beaver Creek School District","HILLS-BEAVER CREEK SECONDARY","0671-01-020",2011,31,24,"fewer than 10","fewer than 10"
"Hills-Beaver Creek School District","HILLS-BEAVER CREEK SECONDARY","0671-01-020",2012,29,24,"fewer than 10","fewer than 10"
"Hinckley-Finlayson School District","HINCKLEY-FINLAYSON SECONDARY","2165-01-020",2006,77,47,40,"fewer than 10"
"Hinckley-Finlayson School District","HINCKLEY-FINLAYSON SECONDARY","2165-01-020",2007,68,46,40,14
"Hinckley-Finlayson School District","HINCKLEY-FINLAYSON SECONDARY","2165-01-020",2008,62,39,33,10
"Hinckley-Finlayson School District","HINCKLEY-FINLAYSON SECONDARY","2165-01-020",2009,74,48,35,"fewer than 10"
"Hinckley-Finlayson School District","HINCKLEY-FINLAYSON SECONDARY","2165-01-020",2010,62,48,38,11
"Hinckley-Finlayson School District","HINCKLEY-FINLAYSON SECONDARY","2165-01-020",2011,70,45,38,11
"Hinckley-Finlayson School District","HINCKLEY-FINLAYSON SECONDARY","2165-01-020",2012,58,42,37,10
"Hmong College Prep Academy","HMONG COLLEGE PREP ACADEMY HS","4103-07-010",2007,38,20,14,"fewer than 10"
"Hmong College Prep Academy","HMONG COLLEGE PREP ACADEMY HS","4103-07-010",2008,83,50,41,15
"Hmong College Prep Academy","HMONG COLLEGE PREP ACADEMY HS","4103-07-010",2009,57,36,30,17
"Hmong College Prep Academy","HMONG COLLEGE PREP ACADEMY HS","4103-07-010",2010,52,32,26,12
"Hmong College Prep Academy","HMONG COLLEGE PREP ACADEMY HS","4103-07-010",2011,64,41,35,21
"Hmong College Prep Academy","HMONG COLLEGE PREP ACADEMY HS","4103-07-010",2012,61,37,30,17
"Hopkins Public School District","HOPKINS SENIOR HIGH","0270-01-282",2006,579,481,264,55
"Hopkins Public School District","HOPKINS SENIOR HIGH","0270-01-282",2007,584,512,285,68
"Hopkins Public School District","HOPKINS SENIOR HIGH","0270-01-282",2008,596,522,302,82
"Hopkins Public School District","HOPKINS SENIOR HIGH","0270-01-282",2009,537,472,244,58
"Hopkins Public School District","HOPKINS SENIOR HIGH","0270-01-282",2010,549,493,279,74
"Hopkins Public School District","HOPKINS SENIOR HIGH","0270-01-282",2011,492,453,279,57
"Hopkins Public School District","HOPKINS SENIOR HIGH","0270-01-282",2012,478,414,229,54
"Hopkins Public School District","TRANSITION PLUS","0270-01-093",2006,20,"fewer than 10","fewer than 10","fewer than 10"
"Hopkins Public School District","TRANSITION PLUS","0270-01-093",2007,13,"fewer than 10","fewer than 10","fewer than 10"
"Hopkins Public School District","TRANSITION PLUS","0270-01-093",2008,17,"fewer than 10","fewer than 10","fewer than 10"
"Hopkins Public School District","TRANSITION PLUS","0270-01-093",2009,10,"fewer than 10","fewer than 10","fewer than 10"
"Hopkins Public School District","TRANSITION PLUS","0270-01-093",2010,14,"fewer than 10","fewer than 10","fewer than 10"
"Hopkins Public School District","TRANSITION PLUS","0270-01-093",2011,15,"fewer than 10","fewer than 10","fewer than 10"
"Hopkins Public School District","TRANSITION PLUS","0270-01-093",2012,18,"fewer than 10","fewer than 10","fewer than 10"
"Houston Public School District","HOUSTON SECONDARY","0294-01-020",2006,31,23,16,"fewer than 10"
"Houston Public School District","HOUSTON SECONDARY","0294-01-020",2007,30,24,18,"fewer than 10"
"Houston Public School District","HOUSTON SECONDARY","0294-01-020",2008,19,19,12,"fewer than 10"
"Houston Public School District","HOUSTON SECONDARY","0294-01-020",2009,46,40,19,"fewer than 10"
"Houston Public School District","HOUSTON SECONDARY","0294-01-020",2010,34,30,16,"fewer than 10"
"Houston Public School District","HOUSTON SECONDARY","0294-01-020",2011,32,25,"fewer than 10","fewer than 10"
"Houston Public School District","HOUSTON SECONDARY","0294-01-020",2012,32,28,11,"fewer than 10"
"Howard Lake-Waverly-Winsted","HOWARD LAKE-WAVERLY-WINSTED SEC.","2687-01-002",2006,76,49,40,"fewer than 10"
"Howard Lake-Waverly-Winsted","HOWARD LAKE-WAVERLY-WINSTED SEC.","2687-01-002",2007,86,65,51,17
"Howard Lake-Waverly-Winsted","HOWARD LAKE-WAVERLY-WINSTED SEC.","2687-01-002",2008,90,68,58,15
"Howard Lake-Waverly-Winsted","HOWARD LAKE-WAVERLY-WINSTED SEC.","2687-01-002",2009,74,56,52,13
"Howard Lake-Waverly-Winsted","HOWARD LAKE-WAVERLY-WINSTED SEC.","2687-01-002",2010,62,49,45,12
"Howard Lake-Waverly-Winsted","HOWARD LAKE-WAVERLY-WINSTED SEC.","2687-01-002",2011,86,69,58,19
"Howard Lake-Waverly-Winsted","HOWARD LAKE-WAVERLY-WINSTED SEC.","2687-01-002",2012,77,64,54,12
"Hutchinson Public School District","HUTCHINSON SENIOR HIGH","0423-01-030",2006,213,173,146,28
"Hutchinson Public School District","HUTCHINSON SENIOR HIGH","0423-01-030",2007,231,203,158,51
"Hutchinson Public School District","HUTCHINSON SENIOR HIGH","0423-01-030",2008,226,184,146,35
"Hutchinson Public School District","HUTCHINSON SENIOR HIGH","0423-01-030",2009,196,167,132,31
"Hutchinson Public School District","HUTCHINSON SENIOR HIGH","0423-01-030",2010,216,191,144,41
"Hutchinson Public School District","HUTCHINSON SENIOR HIGH","0423-01-030",2011,202,169,140,44
"Hutchinson Public School District","HUTCHINSON SENIOR HIGH","0423-01-030",2012,193,162,124,25
"Intermediate School District 287","271 SHAPE ALC","0287-06-620",2010,26,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 287","271 SHAPE ALC","0287-06-620",2011,31,11,11,"fewer than 10"
"Intermediate School District 287","279 OSSEO IC ALC","0287-06-703",2006,36,15,15,"fewer than 10"
"Intermediate School District 287","279 OSSEO IC ALC","0287-06-703",2007,22,10,10,"fewer than 10"
"Intermediate School District 287","279 OSSEO IC ALC","0287-06-703",2008,43,19,19,"fewer than 10"
"Intermediate School District 287","279 OSSEO IC ALC","0287-06-703",2009,40,19,19,11
"Intermediate School District 287","279 OSSEO IC ALC","0287-06-703",2010,32,14,14,"fewer than 10"
"Intermediate School District 287","279 OSSEO IC ALC","0287-06-703",2011,49,20,20,14
"Intermediate School District 287","279 OSSEO SR HI ALC","0287-06-702",2006,55,31,22,18
"Intermediate School District 287","279 OSSEO SR HI ALC","0287-06-702",2007,50,23,17,"fewer than 10"
"Intermediate School District 287","279 OSSEO SR HI ALC","0287-06-702",2008,62,34,28,17
"Intermediate School District 287","279 OSSEO SR HI ALC","0287-06-702",2009,58,35,25,11
"Intermediate School District 287","279 OSSEO SR HI ALC","0287-06-702",2010,74,32,23,16
"Intermediate School District 287","279 OSSEO SR HI ALC","0287-06-702",2011,41,18,14,10
"Intermediate School District 287","281 HIGHVIEW ALTERNATIVE PROGRAM","0287-06-650",2008,20,12,10,"fewer than 10"
"Intermediate School District 287","281 HIGHVIEW ALTERNATIVE PROGRAM","0287-06-650",2009,17,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 287","281 HIGHVIEW ALTERNATIVE PROGRAM","0287-06-650",2011,37,21,13,11
"Intermediate School District 287","PHASE NORTH","0287-06-463",2006,14,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 287","PHASE NORTH","0287-06-463",2007,18,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 287","PHASE NORTH","0287-06-463",2008,20,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 287","SOUTH ALTERNATIVE CENTER","0287-06-622",2011,25,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 287","SOUTH ALTERNATIVE CENTER","0287-06-622",2012,22,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 917","917 TRANSITIONAL EDUCATION SERV ALT","0917-06-030",2006,22,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 917","917 TRANSITIONAL EDUCATION SERV ALT","0917-06-030",2007,22,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 917","917 TRANSITIONAL EDUCATION SERV ALT","0917-06-030",2008,25,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 917","917 TRANSITIONAL EDUCATION SERV ALT","0917-06-030",2009,35,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 917","917 TRANSITIONAL EDUCATION SERV ALT","0917-06-030",2010,37,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 917","917 TRANSITIONAL EDUCATION SERV ALT","0917-06-030",2011,30,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 917","917 TRANSITIONAL EDUCATION SERV ALT","0917-06-030",2012,34,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 917","DAKOTA CTY. ALC","0917-06-071",2006,133,44,44,20
"Intermediate School District 917","DAKOTA CTY. ALC","0917-06-071",2007,90,36,36,25
"Intermediate School District 917","DAKOTA CTY. ALC","0917-06-071",2008,116,42,42,20
"Intermediate School District 917","DAKOTA CTY. ALC","0917-06-071",2009,60,26,26,10
"Intermediate School District 917","DAKOTA CTY. ALC","0917-06-071",2010,62,19,19,"fewer than 10"
"Intermediate School District 917","DAKOTA CTY. ALC","0917-06-071",2011,78,21,21,"fewer than 10"
"Intermediate School District 917","DAKOTA CTY. ALC","0917-06-071",2012,54,10,10,"fewer than 10"
"Intermediate School District 917","WEST HEIGHTS ALC","0917-06-080",2008,14,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 917","WEST HEIGHTS ALC","0917-06-080",2009,11,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 917","WEST HEIGHTS ALC","0917-06-080",2010,14,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 917","WEST HEIGHTS ALC","0917-06-080",2011,13,"fewer than 10","fewer than 10","fewer than 10"
"Intermediate School District 917","WEST HEIGHTS ALC","0917-06-080",2012,11,"fewer than 10","fewer than 10","fewer than 10"
"International Falls School District","FALLS SECONDARY","0361-01-001",2006,95,74,57,"fewer than 10"
"International Falls School District","FALLS SECONDARY","0361-01-001",2007,92,71,57,25
"International Falls School District","FALLS SECONDARY","0361-01-001",2008,95,75,56,14
"International Falls School District","FALLS SECONDARY","0361-01-001",2009,91,62,42,11
"International Falls School District","FALLS SECONDARY","0361-01-001",2010,96,80,70,12
"International Falls School District","FALLS SECONDARY","0361-01-001",2011,111,81,68,22
"International Falls School District","FALLS SECONDARY","0361-01-001",2012,90,69,51,11
"Inver Grove Heights Schools","SIMLEY ALTERNATIVE PROGRAM","0199-01-226",2006,43,17,14,"fewer than 10"
"Inver Grove Heights Schools","SIMLEY ALTERNATIVE PROGRAM","0199-01-226",2007,31,"fewer than 10","fewer than 10","fewer than 10"
"Inver Grove Heights Schools","SIMLEY ALTERNATIVE PROGRAM","0199-01-226",2008,23,"fewer than 10","fewer than 10","fewer than 10"
"Inver Grove Heights Schools","SIMLEY ALTERNATIVE PROGRAM","0199-01-226",2009,42,18,14,"fewer than 10"
"Inver Grove Heights Schools","SIMLEY ALTERNATIVE PROGRAM","0199-01-226",2010,35,17,10,"fewer than 10"
"Inver Grove Heights Schools","SIMLEY ALTERNATIVE PROGRAM","0199-01-226",2011,15,"fewer than 10","fewer than 10","fewer than 10"
"Inver Grove Heights Schools","SIMLEY ALTERNATIVE PROGRAM","0199-01-226",2012,31,13,"fewer than 10","fewer than 10"
"Inver Grove Heights Schools","SIMLEY SENIOR HIGH","0199-01-026",2006,230,62,52,19
"Inver Grove Heights Schools","SIMLEY SENIOR HIGH","0199-01-026",2007,232,93,78,22
